"Countries_and_areas","Gov_Expend_percent_TOTAL","Gov_Expend_percent_HEALTH","Gov_Expend_percent_EDUCATION","Gov_Expend_percent_SOC_Protection","SIGI_2019","LegalFramework_gender_equal_employment","Maternity_Leave","Paternity_Leave","Edu_Attain_Up_Secondary_Male","Edu_Attain_Up_Secondary_Female","LF_partic_rate_Male_Rural","LF_partic_rate_Male_Urban","LF_partic_rate_Male_Total","LF_partic_rate_Female_Rural","LF_partic_rate_Female_Urban","LF_partic_rate_Female_Total","Mobile_phone_ownership_MALE","Mobile_phone_ownership_FEMALE","Financial_Inclusion_Male","Financial_Inclusion_Female","Life_Expectancy_female_2020","Adolescent_birth_rate_2015to2020","Antenatal_care_at_least_ONE_VISIT","Antenatal_care_at_least_FOUR_VISITS","Maternal_Mortality_Ratio_2017","SIGI_num","Mat_Leave","Pat_Leave"
"Afghanistan",NA,0.48597482,4.058869839,"1.8445135420000001","Very high",NA,"No","Yes",NA,NA,75.3,72.4,74.5,23.6,16.9,21.8,NA,NA,22.54,7.16,66.7,62,65.2,20.9,638,5,0,1
"Albania",11.52394291,2.84153938,3.611720085,"9.4711044070000003","Low",80,"Yes","Yes",NA,NA,64.4,70.1,68,49.6,54.1,52.5,NA,NA,42.04,38.1,80.3,14.2,88.4,77.8,15,2,1,1
"Algeria",16.94609928,4.09385347,NA,NA,NA,NA,"Yes","Yes",NA,NA,74.1,64.5,67.8,13.2,18.8,17,92.62,83.07,56.25,29.27,78.3,12,95.3,69.8,112,NA,1,1
"Angola",10.32928014,1.06878364,NA,NA,NA,NA,"No","Yes",19.85885,12.2926,86.5,72.9,78.8,89.5,65.9,76.1,NA,NA,36.13,22.33,64.4,163,81.6,61.4,241,NA,0,1
"Antigua and Barbuda",16.39423687,2.90411592,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.2,27.7,100,100,42,NA,0,0
"Argentina",15.771007,5.91017103,5.462230206,NA,NA,60,"No","Yes",54.82788,59.16116,68.8,75,72.7,48.6,52.9,51.3,NA,NA,46.47,50.76,80.1,49.9,98.1,89.8,39,NA,0,1
"Armenia",12.47208949,1.23714364,2.707590103,"6.6707642030000001","Low",80,"Yes","No",89.93428,90.22909,68.4,62.6,64.9,49.1,39.3,42.9,75.95,76.82,55.75,40.91,78.7,18.9,99.6,96,26,2,1,0
"Australia",19.00849089,6.41243744,5.124249935,"9.5197564670000006","Very low",100,"Yes","Yes",79.80776,76.88626,67.7,72.9,71.2,58.3,62.1,60.8,NA,NA,99.85,99.2,85.5,9.4,98.3,92,6,1,1,1
"Austria",19.44819859,7.5464735,5.358039856,"20.077206329999999","Very low",100,"Yes","Yes",85.93864,73.7654,66.9,66.5,66.7,55.7,54.8,55.2,NA,NA,97.93,98.38,83.9,5.5,NA,NA,5,1,1,1
"Azerbaijan",10.82724257,0.9321152,2.455430031,"6.4497863640000004","Low",NA,"Yes","No",92.2037,85.08451,66.1,72.1,69.9,59.8,65.3,63.3,87.64,79.43,29.44,27.72,75.6,48.1,91.7,95.5,26,2,1,0
"Bahamas",14.19786726,3.13811374,NA,NA,NA,NA,"No","No",NA,NA,79.2,82.6,81.6,67.6,71.1,70.1,NA,NA,NA,NA,76.2,29,98,85,70,NA,0,0
"Bahrain",16.32192206,2.43187261,2.327810049,NA,NA,NA,"No","Yes",65.89412,62.91408,84.3,88.6,87.3,44,45.8,45.3,100,100,86.31,75.41,78.6,12.5,100,100,14,NA,0,1
"Bangladesh",6.271087165,0.3977879,1.326320052,NA,"Very high",20,"Yes","No",35.96361,26.83901,81.3,81.9,81.5,38.6,31.3,36.4,54.3,30.91,64.59,35.84,74.9,74,75.2,36.9,173,5,1,0
"Barbados",11.32601747,2.93843102,4.366380215,NA,NA,50,"No","No",NA,NA,67,70,69.2,59.7,62.6,61.8,NA,NA,NA,NA,80.6,49.7,93.4,87.9,27,NA,0,0
"Belarus",15.85140623,3.97420192,4.794990063,"14.065507849999999","Low",50,"Yes","No",NA,NA,67.8,74,71.7,54.5,59.5,57.6,93.95,96.26,80.93,81.34,79.7,11.7,99.7,99.7,2,2,1,0
"Belgium",23.03444768,7.8199439,6.412280083,"19.499582530000001","Very low",NA,"Yes","Yes",70.74452,67.63782,59.9,58.9,59.1,52,48.5,48.9,NA,NA,98.45,98.82,84,5.5,NA,NA,5,1,1,1
"Belize",17.49162434,3.90398026,7.561490059,NA,NA,NA,"Yes","No",NA,NA,82.7,78.8,80.9,42.7,57.5,50,NA,NA,44.09,52.28,78,58.2,97.2,92.6,36,NA,1,0
"Benin",10.34206324,0.49050966,2.933969975,NA,"Medium",NA,"Yes","Yes",NA,NA,76,69.3,72.8,72,65,68.8,NA,NA,48.62,28.59,63.6,108,83.2,52.1,397,3,1,1
